status	h3k27me3_percentile	h3k36me3_percentile
BAE	0.262448312	0.625603032
BAE	0.603678498	0.363930048
BAE	0.200077533	0.695684011
BAE	0.336664369	0.532606823
BAE	0.094331496	0.779333218
MAE	0.668332185	0.310733977
BAE	0.416566161	0.477989318
BAE	0.277437974	0.616902136
BAE	0.229583046	0.756504135
BAE	0.279591661	0.835759821
BAE	0.179057547	0.878101309
BAE	0.13869745	0.755814955
BAE	0.130039628	0.891540317
BAE	0.153600965	0.746424879
BAE	0.412215713	0.544882839
BAE	0.707486216	0.1523949
BAE	0.587568918	0.405711578
MAE	0.877282908	0.438706065
MAE	0.457098553	0.63731909
BAE	0.429272915	0.741557547
BAE	0.445037905	0.626550655
MAE	0.535880427	0.475275672
BAE	0.324345279	0.768177119
MAE	0.43543246	0.574216058
BAE	0.338559614	0.694994831
BAE	0.431211234	0.940213646
MAE	0.653816334	0.436724673
MAE	0.437586147	0.569822536
BAE	0.357641282	0.800051688
BAE	0.0898949	0.54143694
BAE	0.652308753	0.163077188
BAE	0.368926602	0.60854583
BAE	0.262276017	0.678626809
BAE	0.249483115	0.610398001
BAE	0.169882839	0.705547898
BAE	0.300913163	0.625904549
BAE	0.518220193	0.5821847
MAE	0.483761199	0.568271881
BAE	0.228333908	0.934054101
MAE	0.605013784	0.470236044
BAE	0.551085458	0.461965886
MAE	0.718642316	0.438059959
BAE	0.325379049	0.615049966
BAE	0.220925224	0.93956754
BAE	0.262362164	0.677722261
BAE	0.14399552	0.921218125
MAE	0.68853377	0.304832874
BAE	0.299922467	0.524379738
BAE	0.398690558	0.502282908
BAE	0.213258098	0.566204342
BAE	0.289929359	0.532089938
BAE	0.1917643	0.781271537
BAE	0.334855272	0.631202619
BAE	0.188749139	0.703824948
BAE	0.194133356	0.717522398
BAE	0.188835286	0.740222261
BAE	0.114963818	0.860182633
MAE	0.534588215	0.337655065
MAE	0.543892143	0.397139904
MAE	0.602170917	0.276318057
MAE	0.454514128	0.753359752
BAE	0.202058925	0.8005255
MAE	0.749009304	0.218556168
MAE	0.609622674	0.356435217
BAE	0.339679531	0.865696072
MAE	0.161268091	0.68681082
BAE	0.212870434	0.833261544
MAE	0.737077877	0.316032047
BAE	0.161052722	0.713301172
BAE	0.312887664	0.572062371
BAE	0.352084769	0.734105789
BAE	0.621984838	0.435518608
BAE	0.28303756	0.930048243
BAE	0.2106306	0.776533425
MAE	0.475577188	0.517531013
BAE	0.379651964	0.652481048
BAE	0.207830806	0.902954859
BAE	0.486259476	0.487508615
BAE	0.486431771	0.862896278
BAE	0.407305307	0.976223294
MAE	0.522829083	0.356909028
MAE	0.541867677	0.462611992
BAE	0.327705031	0.710673673
BAE	0.343426947	0.707572364
BAE	0.181900414	0.573096141
BAE	0.215497932	0.926171606
BAE	0.222389731	0.963947278
BAE	0.374784631	0.894813921
BAE	0.302420744	0.816333563
BAE	0.261371468	0.911440386
MAE	0.246812543	0.888395934
BAE	0.111819435	0.88098725
BAE	0.222045141	0.87775672
BAE	0.163637147	0.798974845
BAE	0.166996899	0.791523088
MAE	0.564179876	0.696803928
BAE	0.464248794	0.482856651
MAE	0.888094418	0.178971399
MAE	0.944908684	0.168547553
BAE	0.437327705	0.894986216
MAE	0.5582357	0.556211234
BAE	0.450982081	0.558106478
BAE	0.145115438	0.672984149
BAE	0.319348725	0.640549621
BAE	0.34622674	0.681900414
BAE	0.278256375	0.758873191
BAE	0.263395934	0.888611303
BAE	0.177420744	0.852860096
BAE	0.410535837	0.583304618
BAE	0.223208132	0.899810476
BAE	0.240049966	0.81710889
MAE	0.835199862	0.192281185
BAE	0.400887319	0.934484838
BAE	0.367332874	0.618022054
MAE	0.821459338	0.255728808
MAE	0.173931771	0.611216402
BAE	0.241729841	0.725447967
BAE	0.348681943	0.682804962
BAE	0.147829083	0.828092695
MAE	0.594073053	0.659717436
BAE	0.325292901	0.761414542
BAE	0.255384218	0.660923501
MAE	0.314739835	0.898905927
BAE	0.433149552	0.585716747
MAE	0.834812198	0.29673501
MAE	0.84829428	0.457960028
MAE	0.91884907	0.170270503
MAE	0.525973467	0.330720193
MAE	0.458003101	0.589937974
BAE	0.308149552	0.687198484
MAE	0.778557891	0.221442109
MAE	0.438361475	0.539154032
BAE	0.622372502	0.45154204
BAE	0.074991385	0.828351137
MAE	0.59967264	0.365179187
BAE	0.095839076	0.910665059
BAE	0.186078567	0.703652653
BAE	0.270804618	0.764989662
BAE	0.360182633	0.678454514
BAE	0.322794624	0.912215713
MAE	0.520847691	0.503532047
BAE	0.157391454	0.885251551
BAE	0.563490696	0.838085803
BAE	0.401404204	0.822406961
BAE	0.430263611	0.589033425
BAE	0.31318918	0.635036182
BAE	0.307158856	0.692884218
BAE	0.216187112	0.887017574
BAE	0.244098897	0.695080979
MAE	0.789326327	0.160234321
BAE	0.360441075	0.603290834
BAE	0.353678498	0.957141626
BAE	0.471312888	0.532305307
BAE	0.151834941	0.7457357
BAE	0.352386285	0.796433494
BAE	0.3005255	0.6404204
BAE	0.281659201	0.769512405
BAE	0.373793935	0.713042729
BAE	0.21028601	0.70119745
BAE	0.345365265	0.906702274
BAE	0.286569607	0.814782908
MAE	0.590497932	0.465110269
BAE	0.312112336	0.666006203
MAE	0.913981737	0.393564783
BAE	0.319908684	0.655108546
MAE	0.798845624	0.214937974
BAE	0.41079428	0.538421778
BAE	0.171648863	0.956064783
MAE	0.713990351	0.429315989
BAE	0.334682977	0.948742247
MAE	0.770287733	0.478764645
BAE	0.287818746	0.890937285
BAE	0.298414886	0.899035148
BAE	0.122372502	0.609105789
MAE	0.524681254	0.344159201
BAE	0.381288766	0.653299449
MAE	0.62775672	0.504135079
MAE	0.84622674	0.446200896
MAE	0.649121296	0.333649207
BAE	0.310303239	0.574172984
BAE	0.14537388	0.666049276
MAE	0.752842867	0.44348725
BAE	0.231865955	0.77037388
MAE	0.74862164	0.176257753
BAE	0.703437285	0.607339766
BAE	0.300353205	0.906917643
BAE	0.339722605	0.621597174
BAE	0.220020675	0.711664369
MAE	0.572923846	0.59794969
BAE	0.037732598	0.833692281
BAE	0.62004652	0.686078567
BAE	0.352730875	0.688318401
BAE	0.35497071	0.621295658
BAE	0.654376292	0.439610613
BAE	0.247717092	0.858675052
BAE	0.362250172	0.884519297
BAE	0.107512061	0.659458994
BAE	0.126119917	0.857770503
MAE	0.375043074	0.654591661
MAE	0.673587181	0.245951068
BAE	0.311552378	0.944994831
BAE	0.350792557	0.588947278
BAE	0.310475534	0.718168504
BAE	0.347174363	0.617160579
BAE	0.292858374	0.595020675
BAE	0.483373535	0.631719504
BAE	0.207313921	0.877713646
BAE	0.288766368	0.762749828
BAE	0.129910407	0.649164369
BAE	0.1481306	0.717694693
BAE	0.207012405	0.695339421
BAE	0.159458994	0.939998277
BAE	0.200292901	0.876206065
BAE	0.281573053	0.575465196
BAE	0.275758098	0.739102343
BAE	0.183838732	0.882107167
MAE	0.830504824	0.27705031
BAE	0.128747416	0.959295314
BAE	0.187241558	0.87741213
BAE	0.327145072	0.710372157
BAE	0.619960372	0.516755686
BAE	0.158166782	0.678583735
BAE	0.176946933	0.924362509
MAE	0.528988629	0.565213646
BAE	0.408166782	0.760423846
BAE	0.037603377	0.598725017
BAE	0.246209511	0.666264645
BAE	0.162603377	0.949560648
BAE	0.246080289	0.860010338
BAE	0.126206065	0.757150241
BAE	0.253402826	0.69417643
BAE	0.228850793	0.84092867
BAE	0.192410407	0.590713301
BAE	0.218771537	0.799405582
BAE	0.140937285	0.772484493
BAE	0.237853205	0.940558236
MAE	0.538981737	0.274293591
MAE	0.694779462	0.324302205
BAE	0.102429359	0.907994487
BAE	0.356262922	0.591919366
BAE	0.305565127	0.719977602
BAE	0.075594418	0.855832185
BAE	0.390721916	0.923630255
BAE	0.041264645	0.871683322
BAE	0.048414886	0.851266368
BAE	0.490739145	0.928885252
BAE	0.444262578	0.685217092
BAE	0.135251551	0.906573053
BAE	0.222734321	0.80375603
BAE	0.211750517	0.742849759
BAE	0.313662991	0.918030669
BAE	0.191721227	0.707270848
BAE	0.385380772	0.64434011
BAE	0.375947622	0.816118194
BAE	0.154548587	0.939825982
BAE	0.265291178	0.753575121
BAE	0.192970365	0.790661613
BAE	0.329815644	0.658554445
BAE	0.184614059	0.602515507
BAE	0.410363542	0.854066161
BAE	0.266044969	0.76617419
BAE	0.334381461	0.899422812
BAE	0.026576499	0.518780152
BAE	0.302593039	0.896838387
BAE	0.299534804	0.88029807
BAE	0.051817712	0.767186423
BAE	0.140721916	0.939266023
BAE	0.497674018	0.523518263
MAE	0.286957271	0.8518694
MAE	0.468513094	0.499009304
BAE	0.175094762	0.609708822
MAE	0.600663336	0.351567884
MAE	0.241126809	0.976610958
MAE	0.802851482	0.312370779
MAE	0.600706409	0.362551688
BAE	0.08494142	0.856779807
BAE	0.241514473	0.747329428
BAE	0.330031013	0.716230186
BAE	0.243711234	0.902524121
BAE	0.319434873	0.616428325
BAE	0.273862853	0.76128532
BAE	0.37396623	0.645244659
BAE	0.1053153	0.926990007
MAE	0.615997588	0.28049621
MAE	0.620132667	0.336750517
BAE	0.316333563	0.725491041
BAE	0.212095107	0.742203653
BAE	0.218642316	0.844073053
BAE	0.314481392	0.953437285
BAE	0.451154376	0.499483115
BAE	0.348165059	0.809312543
BAE	0.151059614	0.632451757
BAE	0.31077705	0.600060303
BAE	0.268134045	0.587353549
BAE	0.254996554	0.895115438
BAE	0.212396623	0.854712267
BAE	0.071416265	0.942841144
BAE	0.286914197	0.851007926
MAE	0.638094418	0.295615093
BAE	0.176128532	0.952403515
BAE	0.073569952	0.893780152
BAE	0.154763956	0.922208822
BAE	0.109794969	0.885337698
MAE	0.921562715	0.107339766
BAE	0.29040317	0.96592867
MAE	0.580074087	0.219633012
BAE	0.251206065	0.844374569
BAE	0.158597519	0.682417298
MAE	0.52705031	0.524724328
MAE	0.567970365	0.253359752
MAE	0.821631633	0.384734666
MAE	0.641023432	0.236216402
BAE	0.458175396	0.689136802
BAE	0.402782564	0.529591661
BAE	0.41712612	0.637103722
BAE	0.404419366	0.718039283
BAE	0.160492764	0.757064094
BAE	0.314309097	0.646795314
BAE	0.206883184	0.855918332
BAE	0.210199862	0.921088904
BAE	0.156702274	0.9571847
BAE	0.104023088	0.667039972
BAE	0.352127843	0.920959683
MAE	0.348854238	0.970063749
BAE	0.377369056	0.977817023
BAE	0.193056513	0.764601999
BAE	0.208347691	0.755384218
MAE	0.492892833	0.306340455
BAE	0.188921433	0.782176085
BAE	0.071028601	0.694951757
BAE	0.221097519	0.652136458
MAE	0.834338387	0.236862509
MAE	0.581064783	0.568099586
BAE	0.712525844	0.487422467
MAE	0.543547553	0.410665059
MAE	0.470752929	0.628359752
BAE	0.119228119	0.719417643
BAE	0.213947278	0.84794969
BAE	0.357512061	0.766238801
BAE	0.228980014	0.622114059
BAE	0.232813577	0.614231564
BAE	0.386586837	0.850361819
BAE	0.670528946	0.303540662
MAE	0.832313921	0.380901103
BAE	0.207960028	0.843383873
BAE	0.193961061	0.911741902
BAE	0.105444521	0.693659545
BAE	0.004781185	0.045787388
BAE	0.247157133	0.985699518
BAE	0.406357684	0.530970021
MAE	0.555651275	0.570597864
BAE	0.355530669	0.959726051
BAE	0.378144383	0.524164369
BAE	0.86164714	0.234148863
BAE	0.192711923	0.96730703
BAE	0.302980703	0.575594418
BAE	0.453868022	0.872415575
MAE	0.681986561	0.311337009
MAE	0.771838387	0.164972433
BAE	0.282563749	0.643177119
MAE	0.810518608	0.094029979
BAE	0.389085114	0.650930393
MAE	0.084553756	0.778299449
BAE	0.712913508	0.742677464
BAE	0.136242247	0.935647829
BAE	0.15838215	0.828006547
MAE	0.821545486	0.163206409
MAE	0.950637491	0.308063405
BAE	0.175654721	0.624095451
