Genes dropped due to baseline enrichment beneath the 0.05 percentile and below1mean value
gene_name	low_baseline_mark
AFDN-AS1	h3k36me3_body
AFF1	h3k36me3_body
AFF2	h3k36me3_body
AFF3	h3k36me3_body
AFF4	h3k36me3_body
AFG3L1P	h3k36me3_body
AFG3L2	h3k36me3_body
AFM	h3k36me3_body
AFMID	h3k36me3_body
AFP	h3k36me3_body
AFTPH	h3k36me3_body
AGA	h3k36me3_body
AGAP1	h3k36me3_body
AGAP1-IT1	h3k36me3_body
AGAP11	h3k36me3_body
AGAP12P	h3k36me3_body
AGAP2	h3k36me3_body
AGAP2-AS1	h3k36me3_body
AGAP3	h3k36me3_body
AGAP4	h3k36me3_body
AGAP5	h3k36me3_body
AGAP6	h3k36me3_body
AGAP7P	h3k36me3_body
AGAP9	h3k36me3_body
AGBL2	h3k36me3_body
AGBL3	h3k36me3_body
AGBL4	h3k36me3_body
AGBL4-IT1	h3k36me3_body
AGBL5	h3k36me3_body
AGBL5-AS1	h3k36me3_body
AGER	h3k36me3_body
AGFG1	h3k36me3_body
AGFG2	h3k36me3_body
AGGF1	h3k36me3_body
AGK	h3k36me3_body
AGL	h3k36me3_body
AGMAT	h3k36me3_body
AGMO	h3k36me3_body
AGO1	h3k36me3_body
AGO2	h3k36me3_body
AGO3	h3k36me3_body
AGO4	h3k36me3_body
AGPAT1	h3k36me3_body
AGPAT2	h3k36me3_body
AGPAT3	h3k36me3_body
AGPAT4	h3k36me3_body
AGPAT4-IT1	h3k36me3_body
AGPAT5	h3k36me3_body
AGPS	h3k36me3_body
AGR2	h3k36me3_body
AGR3	h3k36me3_body
AGRN	h3k36me3_body
AGRP	h3k36me3_body
AGT	h3k36me3_body
AGTPBP1	h3k36me3_body
AGTR1	h3k36me3_body
AGTR2	h3k36me3_body
AGTRAP	h3k36me3_body
AGXT	h3k36me3_body
AGXT2	h3k36me3_body
AHCTF1	h3k36me3_body
AHCTF1P1	h3k36me3_body
AHCY	h3k36me3_body
AHCYL1	h3k36me3_body
AHCYL2	h3k36me3_body
AHDC1	h3k36me3_body
AHI1	h3k36me3_body
AHNAK	h3k36me3_body
AHNAK2	h3k36me3_body
AHR	h3k36me3_body
AHRR	h3k36me3_body
AHSA1	h3k36me3_body
AHSA2	h3k36me3_body
AHSG	h3k36me3_body
AHSP	h3k36me3_body
AICDA	h3k36me3_body
AIDA	h3k36me3_body
AIF1	h3k36me3_body
AIF1L	h3k36me3_body
AIFM1	h3k36me3_body
AIFM2	h3k36me3_body
AIFM3	h3k36me3_body
AIG1	h3k36me3_body
AIM1	h3k36me3_body
AIM1L	h3k36me3_body
AIM2	h3k36me3_body
AIMP1	h3k36me3_body
AIMP2	h3k36me3_body
AIP	h3k36me3_body
AIPL1	h3k36me3_body
AIRE	h3k36me3_body
AIRN	h3k36me3_body
AJAP1	h3k36me3_body
AJUBA	h3k36me3_body
AK1	h3k36me3_body
